>>>> IterationI 0
Independent Set 0 :  LUT
Site 38 | (61, 137, 4) -> (56, 136, 14) | Instance:0
Site 39 | (61, 137, 6) -> (58, 141, 4) | Instance:0
Site 40 | (63, 138, 0) -> (63, 138, 14) | Instance:2464
Site 41 | (63, 138, 4) -> (58, 139, 6) | Instance:908
Site 42 | (63, 138, 6) -> (56, 140, 14) | Instance:0
Site 43 | (63, 138, 14) -> (55, 138, 6) | Instance:0
Site 44 | (61, 140, 0) -> (54, 138, 12) | Instance:0
Site 45 | (61, 140, 2) -> (59, 136, 6) | Instance:0
Site 46 | (60, 141, 4) -> (59, 141, 6) | Instance:594
Site 47 | (60, 141, 8) -> (56, 139, 6) | Instance:0
Site 48 | (60, 141, 10) -> (58, 142, 6) | Instance:0
Total Cost: -5
Independent Set 8 :  LUT
Site 0 | (76, 152, 0) -> (76, 154, 0) | Instance:198
Site 1 | (76, 152, 2) -> (77, 151, 0) | Instance:1394
Site 2 | (76, 152, 8) -> (75, 155, 2) | Instance:0
Site 3 | (76, 152, 10) -> (76, 150, 6) | Instance:0
Site 4 | (77, 152, 0) -> (80, 152, 2) | Instance:0
Site 5 | (77, 152, 2) -> (75, 153, 8) | Instance:0
Site 6 | (76, 153, 8) -> (74, 154, 0) | Instance:0
Site 7 | (76, 153, 10) -> (74, 152, 2) | Instance:0
Site 8 | (75, 152, 0) -> (75, 151, 2) | Instance:0
Site 9 | (75, 152, 2) -> (75, 153, 10) | Instance:0
Site 10 | (76, 151, 0) -> (72, 152, 0) | Instance:0
Site 11 | (76, 151, 2) -> (75, 150, 4) | Instance:0
Site 12 | (77, 153, 0) -> (77, 152, 2) | Instance:0
Site 13 | (77, 153, 2) -> (77, 154, 10) | Instance:0
Site 14 | (76, 154, 0) -> (76, 151, 2) | Instance:0
Site 15 | (76, 154, 2) -> (74, 151, 0) | Instance:0
Site 16 | (75, 153, 8) -> (76, 153, 10) | Instance:0
Site 17 | (75, 153, 10) -> (80, 152, 0) | Instance:0
Site 18 | (74, 152, 0) -> (76, 152, 10) | Instance:0
Site 19 | (74, 152, 2) -> (77, 150, 0) | Instance:0
